,Transformer,HighSideConnection,NumPhases
291,Transformer.tr(r:rdt1727-rdt1727lv),wye,1
292,Transformer.tr(r:rdt1728-rdt1728lv),wye,1
293,Transformer.tr(r:rdt1729-rdt1729lv),wye,1
294,Transformer.tr(r:rdt1730-rdt1730lv),wye,1
295,Transformer.tr(r:rdt1731-rdt1731lv),wye,1
296,Transformer.tr(r:rdt1732-rdt1732lv),wye,1
297,Transformer.tr(r:rdt1733-rdt1733lv),wye,1
298,Transformer.tr(r:rdt1734-rdt1734lv),wye,1
299,Transformer.tr(r:rdt1735-rdt1735lv),wye,1
300,Transformer.tr(r:rdt1736-rdt1736lv),wye,1
301,Transformer.tr(r:rdt1737-rdt1737lv),wye,1
302,Transformer.tr(r:rdt1744-rdt1744lv),wye,3
303,Transformer.tr(r:rdt1797-rdt1797lv),wye,1
304,Transformer.tr(r:rdt1798-rdt1798lv),wye,1
305,Transformer.tr(r:rdt1799-rdt1799lv),wye,1
306,Transformer.tr(r:rdt1800-rdt1800lv),wye,1
307,Transformer.tr(r:rdt1801-rdt1801lv),wye,1
308,Transformer.tr(r:rdt1802-rdt1802lv),wye,1
309,Transformer.tr(r:rdt1803-rdt1803lv),wye,1
310,Transformer.tr(r:rdt1804-rdt1804lv),wye,1
311,Transformer.tr(r:rdt1805-rdt1805lv),wye,1
312,Transformer.tr(r:rdt1806-rdt1806lv),wye,1
313,Transformer.tr(r:rdt1807-rdt1807lv),wye,1
314,Transformer.tr(r:rdt1808-rdt1808lv),wye,1
315,Transformer.tr(r:rdt1809-rdt1809lv),wye,1
316,Transformer.tr(r:rdt1810-rdt1810lv),wye,1
317,Transformer.tr(r:rdt1811-rdt1811lv),wye,1
318,Transformer.tr(r:rdt1812-rdt1812lv),wye,1
319,Transformer.tr(r:rdt1813-rdt1813lv),wye,1
320,Transformer.tr(r:rdt1814-rdt1814lv),wye,1
321,Transformer.tr(r:rdt1815-rdt1815lv),wye,1
322,Transformer.tr(r:rdt1816-rdt1816lv),wye,1
323,Transformer.tr(r:rdt1817-rdt1817lv),wye,1
324,Transformer.tr(r:rdt1818-rdt1818lv),wye,1
325,Transformer.tr(r:rdt1819-rdt1819lv),wye,1
326,Transformer.tr(r:rdt1820-rdt1820lv),wye,1
327,Transformer.tr(r:rdt1821-rdt1821lv),wye,1
328,Transformer.tr(r:rdt1822-rdt1822lv),wye,1
329,Transformer.tr(r:rdt1823-rdt1823lv),wye,1
330,Transformer.tr(r:rdt1824-rdt1824lv),wye,1
331,Transformer.tr(r:rdt1825-rdt1825lv),wye,1
332,Transformer.tr(r:rdt1826-rdt1826lv),wye,1
333,Transformer.tr(r:rdt1827-rdt1827lv),wye,1
334,Transformer.tr(r:rdt1828-rdt1828lv),wye,1
335,Transformer.tr(r:rdt1829-rdt1829lv),wye,1
336,Transformer.tr(r:rdt1830-rdt1830lv),wye,1
337,Transformer.tr(r:rdt1831-rdt1831lv),wye,1
338,Transformer.tr(r:rdt1832-rdt1832lv),wye,3
339,Transformer.tr(r:rdt1833-rdt1833lv),wye,1
340,Transformer.tr(r:rdt1834-rdt1834lv),wye,1
341,Transformer.tr(r:rdt1835-rdt1835lv),wye,1
342,Transformer.tr(r:rdt1836-rdt1836lv),wye,1
343,Transformer.tr(r:rdt1837-rdt1837lv),wye,1
344,Transformer.tr(r:rdt1838-rdt1838lv),wye,1
345,Transformer.tr(r:rdt1839-rdt1839lv),wye,1
346,Transformer.tr(r:rdt1840-rdt1840lv),wye,1
347,Transformer.tr(r:rdt1841-rdt1841lv),wye,1
348,Transformer.tr(r:rdt1842-rdt1842lv),wye,1
349,Transformer.tr(r:rdt1843-rdt1843lv),wye,1
350,Transformer.tr(r:rdt1844-rdt1844lv),wye,1
351,Transformer.tr(r:rdt1845-rdt1845lv),wye,1
352,Transformer.tr(r:rdt1846-rdt1846lv),wye,1
353,Transformer.tr(r:rdt1847-rdt1847lv),wye,1
354,Transformer.tr(r:rdt1848-rdt1848lv),wye,1
355,Transformer.tr(r:rdt1849-rdt1849lv),wye,1
356,Transformer.tr(r:rdt1850-rdt1850lv),wye,1
357,Transformer.tr(r:rdt1851-rdt1851lv),wye,1
358,Transformer.tr(r:rdt1852-rdt1852lv),wye,1
359,Transformer.tr(r:rdt1853-rdt1853lv),wye,1
360,Transformer.tr(r:rdt1854-rdt1854lv),wye,1
361,Transformer.tr(r:rdt1855-rdt1855lv),wye,1
362,Transformer.tr(r:rdt1856-rdt1856lv),wye,1
363,Transformer.tr(r:rdt1857-rdt1857lv),wye,1
364,Transformer.tr(r:rdt1858-rdt1858lv),wye,1
365,Transformer.tr(r:rdt1859-rdt1859lv),wye,1
366,Transformer.tr(r:rdt1860-rdt1860lv),wye,1
367,Transformer.tr(r:rdt1861-rdt1861lv),wye,1
368,Transformer.tr(r:rdt1862-rdt1862lv),wye,1
369,Transformer.tr(r:rdt1863-rdt1863lv),wye,1
370,Transformer.tr(r:rdt1864-rdt1864lv),wye,1
371,Transformer.tr(r:rdt1865-rdt1865lv),wye,1
372,Transformer.tr(r:rdt1866-rdt1866lv),wye,1
