,Transformer,HighSideConnection,NumPhases
407,Transformer.tr(r:rdt437-rdt437lv),wye,3
408,Transformer.tr(r:rdt438-rdt438lv),wye,1
409,Transformer.tr(r:rdt439-rdt439lv),wye,3
410,Transformer.tr(r:rdt440-rdt440lv),wye,1
411,Transformer.tr(r:rdt441-rdt441lv),wye,1
412,Transformer.tr(r:rdt442-rdt442lv),wye,1
413,Transformer.tr(r:rdt443-rdt443lv),wye,1
414,Transformer.tr(r:rdt444-rdt444lv),wye,1
415,Transformer.tr(r:rdt445-rdt445lv),wye,3
416,Transformer.tr(r:rdt446-rdt446lv),wye,3
417,Transformer.tr(r:rdt447-rdt447lv),wye,1
418,Transformer.tr(r:rdt448-rdt448lv),wye,3
419,Transformer.tr(r:rdt449-rdt449lv),wye,3
420,Transformer.tr(r:rdt450-rdt450lv),wye,3
421,Transformer.tr(r:rdt451-rdt451lv),wye,3
422,Transformer.tr(r:rdt452-rdt452lv),wye,1
423,Transformer.tr(r:rdt453-rdt453lv),wye,3
424,Transformer.tr(r:rdt454-rdt454lv),wye,3
425,Transformer.tr(r:rdt455-rdt455lv),wye,3
426,Transformer.tr(r:rdt456-rdt456lv),wye,3
427,Transformer.tr(r:rdt457-rdt457lv),wye,1
428,Transformer.tr(r:rdt458-rdt458lv),wye,1
429,Transformer.tr(r:rdt459-rdt459lv),wye,1
430,Transformer.tr(r:rdt460-rdt460lv),wye,1
431,Transformer.tr(r:rdt461-rdt461lv),wye,1
432,Transformer.tr(r:rdt462-rdt462lv),wye,1
433,Transformer.tr(r:rdt463-rdt463lv),wye,1
434,Transformer.tr(r:rdt464-rdt464lv),wye,1
435,Transformer.tr(r:rdt465-rdt465lv),wye,1
436,Transformer.tr(r:rdt466-rdt466lv),wye,1
437,Transformer.tr(r:rdt467-rdt467lv),wye,1
438,Transformer.tr(r:rdt468-rdt468lv),wye,1
439,Transformer.tr(r:rdt469-rdt469lv),wye,1
440,Transformer.tr(r:rdt470-rdt470lv),wye,1
441,Transformer.tr(r:rdt471-rdt471lv),wye,3
442,Transformer.tr(r:rdt472-rdt472lv),wye,3
443,Transformer.tr(r:rdt473-rdt473lv),wye,3
444,Transformer.tr(r:rdt474-rdt474lv),wye,3
445,Transformer.tr(r:rdt475-rdt475lv),wye,1
446,Transformer.tr(r:rdt476-rdt476lv),wye,1
447,Transformer.tr(r:rdt477-rdt477lv),wye,3
448,Transformer.tr(r:rdt478-rdt478lv),wye,1
449,Transformer.tr(r:rdt479-rdt479lv),wye,1
450,Transformer.tr(r:rdt480-rdt480lv),wye,1
451,Transformer.tr(r:rdt481-rdt481lv),wye,1
452,Transformer.tr(r:rdt482-rdt482lv),wye,1
453,Transformer.tr(r:rdt483-rdt483lv),wye,1
454,Transformer.tr(r:rdt484-rdt484lv),wye,3
455,Transformer.tr(r:rdt485-rdt485lv),wye,1
456,Transformer.tr(r:rdt486-rdt486lv),wye,1
457,Transformer.tr(r:rdt487-rdt487lv),wye,1
458,Transformer.tr(r:rdt488-rdt488lv),wye,3
459,Transformer.tr(r:rdt489-rdt489lv),wye,3
460,Transformer.tr(r:rdt490-rdt490lv),wye,1
461,Transformer.tr(r:rdt491-rdt491lv),wye,1
462,Transformer.tr(r:rdt492-rdt492lv),wye,1
463,Transformer.tr(r:rdt493-rdt493lv),wye,3
464,Transformer.tr(r:rdt494-rdt494lv),wye,3
465,Transformer.tr(r:rdt495-rdt495lv),wye,1
466,Transformer.tr(r:rdt496-rdt496lv),wye,1
467,Transformer.tr(r:rdt497-rdt497lv),wye,3
468,Transformer.tr(r:rdt498-rdt498lv),wye,3
469,Transformer.tr(r:rdt499-rdt499lv),wye,1
470,Transformer.tr(r:rdt500-rdt500lv),wye,1
471,Transformer.tr(r:rdt501-rdt501lv),wye,1
472,Transformer.tr(r:rdt502-rdt502lv),wye,1
473,Transformer.tr(r:rdt503-rdt503lv),wye,3
474,Transformer.tr(r:rdt504-rdt504lv),wye,1
475,Transformer.tr(r:rdt505-rdt505lv),wye,3
476,Transformer.tr(r:rdt506-rdt506lv),wye,1
477,Transformer.tr(r:rdt507-rdt507lv),wye,3
478,Transformer.tr(r:rdt508-rdt508lv),wye,3
