,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.load_p1ilv2592,3,p1ilv2592.1.2.3,0.48,175.536119881377,0.9482,1,com_kw_14787_pu,,,,wye,58.8158316553462,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,185.127608519959,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2629,3,p1ilv2629.1.2.3,0.48,134.398334442263,0.997,1,com_kw_14737_pu,,,,wye,10.5101149414869,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,134.808660022039,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2668,3,p1ilv2668.1.2.3,0.48,139.891772220713,0.999,1,com_kw_14536_pu,,,,wye,6.10924687753502,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,140.025107864491,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1imv39,3,p1imv39.1.2.3,12.47,1305.29736624126,0.9983,1,com_kw_14877_pu,,,,wye,75.3351425437239,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1307.46953999642,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1imv40,3,p1imv40.1.2.3,12.47,1305.29736624126,0.9983,1,com_kw_14877_pu,,,,wye,75.3351425437239,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1307.46953999642,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2804,3,p1ilv2804.1.2.3,0.48,60.4479916863559,0.9657,1,com_kw_14660_pu,,,,wye,16.2594512707407,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,62.596561044033,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2815_1,1,p1ilv2815.1,0.12,5.14962695594535,0.9585,1,com_kw_14231_pu,,,,wye,1.53231452230911,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.37276889328756,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2815_2,1,p1ilv2815.2,0.12,5.14962695594535,0.9585,1,com_kw_14231_pu,,,,wye,1.53231452230911,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.37276889328756,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2847,3,p1ilv2847.1.2.3,0.48,75.1695887655224,0.9613,1,com_kw_14079_pu,,,,wye,21.54095176181,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,78.1951384549089,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2873,3,p1ilv2873.1.2.3,0.48,99.7839735906942,0.982,1,com_kw_13178_pu,,,,wye,19.2193107709804,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,101.618026412935,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2917,3,p1ilv2917.1.2.3,0.48,154.0874288918,0.9597,1,com_kw_15210_pu,,,,wye,45.0929029323899,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,160.550009770649,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2949,3,p1ilv2949.1.2.3,0.48,174.692854102913,0.9673,1,com_kw_15000_pu,,,,wye,45.8219716810437,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,180.602453923971,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2960,3,p1ilv2960.1.2.3,0.48,44.2991890323251,0.969,1,com_kw_13114_pu,,,,wye,11.2866683759281,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,45.7144072689327,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv3015,3,p1ilv3015.1.2.3,0.48,285.709858164218,0.9938,1,com_kw_15105_pu,,,,wye,32.0098597019607,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,287.497398545373,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
